fecha,lunes,martes,miercoles,jueves,viernes,sabado,domingo
13/05/2023,0,0,0,0,0,33,0
14/05/2023,0,0,0,0,0,0,49
15/05/2023,31,0,0,0,0,0,0
16/05/2023,0,32,0,0,0,0,0
17/05/2023,0,0,45,0,0,0,0
18/05/2023,0,0,0,39,0,0,0
19/05/2023,0,0,0,0,72,0,0
20/05/2023,0,0,0,0,0,53,0
21/05/2023,0,0,0,0,0,0,49
22/05/2023,52,0,0,0,0,0,0
23/05/2023,0,55,0,0,0,0,0
24/05/2023,0,0,53,0,0,0,0
25/05/2023,0,0,0,51,0,0,0
26/05/2023,0,0,0,0,39,0,0
27/05/2023,0,0,0,0,0,42,0
28/05/2023,0,0,0,0,0,0,56
29/05/2023,42,0,0,0,0,0,0
30/05/2023,0,41,0,0,0,0,0
31/05/2023,0,0,54,0,0,0,0
1/06/2023,0,0,0,38,0,0,0
2/06/2023,0,0,0,0,47,0,0
3/06/2023,0,0,0,0,0,42,0
4/06/2023,0,0,0,0,0,0,32
5/06/2023,36,0,0,0,0,0,0
6/06/2023,0,45,0,0,0,0,0
7/06/2023,0,0,52,0,0,0,0
8/06/2023,0,0,0,57,0,0,0
9/06/2023,0,0,0,0,46,0,0
10/06/2023,0,0,0,0,0,57,0
11/06/2023,0,0,0,0,0,0,41
12/06/2023,48,0,0,0,0,0,0
13/06/2023,0,50,0,0,0,0,0
14/06/2023,0,0,59,0,0,0,0
15/06/2023,0,0,0,50,0,0,0
16/06/2023,0,0,0,0,46,0,0
17/06/2023,0,0,0,0,0,40,0
18/06/2023,0,0,0,0,0,0,46
19/06/2023,34,0,0,0,0,0,0
20/06/2023,0,39,0,0,0,0,0
21/06/2023,0,0,45,0,0,0,0
22/06/2023,0,0,0,48,0,0,0
23/06/2023,0,0,0,0,52,0,0
24/06/2023,0,0,0,0,0,54,0
25/06/2023,0,0,0,0,0,0,47
26/06/2023,29,0,0,0,0,0,0
27/06/2023,0,82,0,0,0,0,0
28/06/2023,0,0,40,0,0,0,0
29/06/2023,0,0,0,42,0,0,0
30/06/2023,0,0,0,0,48,0,0
1/07/2023,0,0,0,0,0,67,0
2/07/2023,0,0,0,0,0,0,36
3/07/2023,41,0,0,0,0,0,0
4/07/2023,0,58,0,0,0,0,0
5/07/2023,0,0,33,0,0,0,0
6/07/2023,0,0,0,38,0,0,0
7/07/2023,0,0,0,0,34,0,0
8/07/2023,0,0,0,0,0,55,0
9/07/2023,0,0,0,0,0,0,25
10/07/2023,42,0,0,0,0,0,0
11/07/2023,0,44,0,0,0,0,0
12/07/2023,0,0,43,0,0,0,0
13/07/2023,0,0,0,25,0,0,0
14/07/2023,0,0,0,0,35,0,0
15/07/2023,0,0,0,0,0,49,0
16/07/2023,0,0,0,0,0,0,51
17/07/2023,59,0,0,0,0,0,0
18/07/2023,0,50,0,0,0,0,0
19/07/2023,0,0,34,0,0,0,0
20/07/2023,0,0,0,47,0,0,0
21/07/2023,0,0,0,0,67,0,0
22/07/2023,0,0,0,0,0,41,0
23/07/2023,0,0,0,0,0,0,52
24/07/2023,35,0,0,0,0,0,0
25/07/2023,0,35,0,0,0,0,0
26/07/2023,0,0,39,0,0,0,0
27/07/2023,0,0,0,48,0,0,0
28/07/2023,0,0,0,0,43,0,0
29/07/2023,0,0,0,0,0,47,0
30/07/2023,0,0,0,0,0,0,36
31/07/2023,40,0,0,0,0,0,0
1/08/2023,0,35,0,0,0,0,0
2/08/2023,0,0,62,0,0,0,0
3/08/2023,0,0,0,45,0,0,0
4/08/2023,0,0,0,0,36,0,0
5/08/2023,0,0,0,0,0,62,0
6/08/2023,0,0,0,0,0,0,42
7/08/2023,31,0,0,0,0,0,0
8/08/2023,0,47,0,0,0,0,0
9/08/2023,0,0,51,0,0,0,0
10/08/2023,0,0,0,31,0,0,0
11/08/2023,0,0,0,0,46,0,0
12/08/2023,0,0,0,0,0,54,0
13/08/2023,0,0,0,0,0,0,30
14/08/2023,32,0,0,0,0,0,0
15/08/2023,0,58,0,0,0,0,0
16/08/2023,0,0,45,0,0,0,0
17/08/2023,0,0,0,39,0,0,0
18/08/2023,0,0,0,0,51,0,0
19/08/2023,0,0,0,0,0,39,0
20/08/2023,0,0,0,0,0,0,27
21/08/2023,50,0,0,0,0,0,0
22/08/2023,0,34,0,0,0,0,0
23/08/2023,0,0,39,0,0,0,0
24/08/2023,0,0,0,30,0,0,0
25/08/2023,0,0,0,0,29,0,0
26/08/2023,0,0,0,0,0,45,0
27/08/2023,0,0,0,0,0,0,52
28/08/2023,32,0,0,0,0,0,0
29/08/2023,0,37,0,0,0,0,0
30/08/2023,0,0,44,0,0,0,0
31/08/2023,0,0,0,41,0,0,0
1/09/2023,0,0,0,0,32,0,0
2/09/2023,0,0,0,0,0,39,0
3/09/2023,0,0,0,0,0,0,31
4/09/2023,32,0,0,0,0,0,0
5/09/2023,0,27,0,0,0,0,0
6/09/2023,0,0,44,0,0,0,0
7/09/2023,0,0,0,43,0,0,0
8/09/2023,0,0,0,0,55,0,0
9/09/2023,0,0,0,0,0,49,0
10/09/2023,0,0,0,0,0,0,59
11/09/2023,13,0,0,0,0,0,0
12/09/2023,0,33,0,0,0,0,0
13/09/2023,0,0,37,0,0,0,0
14/09/2023,0,0,0,28,0,0,0
15/09/2023,0,0,0,0,50,0,0
16/09/2023,0,0,0,0,0,39,0
17/09/2023,0,0,0,0,0,0,34
18/09/2023,32,0,0,0,0,0,0
19/09/2023,0,39,0,0,0,0,0
20/09/2023,0,0,39,0,0,0,0
21/09/2023,0,0,0,37,0,0,0
22/09/2023,0,0,0,0,37,0,0
23/09/2023,0,0,0,0,0,50,0
24/09/2023,0,0,0,0,0,0,68
25/09/2023,33,0,0,0,0,0,0
26/09/2023,0,32,0,0,0,0,0
27/09/2023,0,0,53,0,0,0,0
28/09/2023,0,0,0,31,0,0,0
29/09/2023,0,0,0,0,40,0,0
30/09/2023,0,0,0,0,0,51,0
1/10/2023,0,0,0,0,0,0,38
2/10/2023,17,0,0,0,0,0,0
3/10/2023,0,34,0,0,0,0,0
4/10/2023,0,0,28,0,0,0,0
5/10/2023,0,0,0,38,0,0,0
6/10/2023,0,0,0,0,94,0,0
7/10/2023,0,0,0,0,0,60,0
8/10/2023,0,0,0,0,0,0,34
9/10/2023,44,0,0,0,0,0,0
10/10/2023,0,23,0,0,0,0,0
11/10/2023,0,0,32,0,0,0,0
12/10/2023,0,0,0,29,0,0,0
13/10/2023,0,0,0,0,33,0,0
14/10/2023,0,0,0,0,0,61,0
15/10/2023,0,0,0,0,0,0,44
16/10/2023,34,0,0,0,0,0,0
17/10/2023,0,31,0,0,0,0,0
18/10/2023,0,0,36,0,0,0,0
19/10/2023,0,0,0,26,0,0,0
20/10/2023,0,0,0,0,35,0,0
21/10/2023,0,0,0,0,0,60,0
22/10/2023,0,0,0,0,0,0,19
