ASSET,JP
1271,64
1269,55
1272,51
3655,47
1173,42
123,37
3709,33
3673,32
3710,29
1166,29
1267,26
6900,25
6896,22
6901,21
395,21
6903,20
1023,20
6905,19
3285,19
922,19
911,19
910,19
6902,18
6899,18
3708,18
923,17
8172,16
6431,16
3293,15
832,15
86,15
158,15
3716,14
6806,14
6904,14
3565,14
693,13
3637,13
109,13
1157,13
97,13
3220,13
1152,13
3715,12
6898,12
6852,12
6867,12
835,12
3678,12
110,12
6940,11
3728,11
421,11
3365,11
138,11
134,11
668,11
6991,10
3718,10
6854,10
6972,10
87,10
3303,10
90,10
1018,10
1160,10
1146,10
6894,9
6851,9
6965,9
6721,9
4524,9
6463,9
6557,9
962,9
98,9
88,9
3588,9
1303,9
3717,8
6976,8
6461,8
6869,8
3674,8
3366,8
6995,7
6992,7
6897,7
6761,7
6782,7
1159,7
148,7
272,7
4512,6
4466,6
3747,6
4526,6
6974,6
4529,6
6989,6
6433,6
6993,6
3359,6
1024,6
3402,6
3682,6
737,6
3631,6
1300,6
3654,6
3630,6
663,6
212,6
314,6
4527,5
6611,5
6579,5
6990,5
6893,5
6784,5
6943,5
4530,5
6595,5
8133,5
6747,5
6866,5
6758,5
6853,5
667,5
1158,5
89,5
1277,5
1151,5
3487,5
3634,5
3560,5
91,5
3658,5
3288,5
317,5
3681,5
844,5
3737,4
6966,4
3725,4
6693,4
6840,4
6808,4
6982,4
6895,4
6590,4
3714,4
6973,4
4498,4
6975,4
6921,4
6981,4
6934,4
6744,4
6831,4
6863,4
6952,4
6964,4
6859,4
1022,4
695,4
95,4
1333,4
837,4
3376,4
960,4
3398,4
1092,4
1341,4
3290,4
3675,4
1148,4
107,4
3312,4
1398,4
3360,4
208,4
3613,4
1394,4
1396,4
1310,4
1201,4
8163,3
6675,3
6856,3
6727,3
6884,3
6734,3
3726,3
3712,3
6979,3
3713,3
6988,3
6477,3
6994,3
4491,3
8201,3
6490,3
6613,3
6544,3
6977,3
6571,3
8205,3
4499,3
6985,3
6377,3
3727,3
6830,3
6885,3
6586,3
6888,3
4546,3
8164,3
6967,3
6724,3
4653,3
6850,3
3284,3
1498,3
1392,3
313,3
3268,3
3597,3
3680,3
1053,3
1480,3
3305,3
3683,3
3306,3
3269,3
3633,3
1088,3
3310,3
1351,3
3636,3
3292,3
1315,3
3684,3
6929,2
6998,2
4533,2
6742,2
4641,2
6745,2
6598,2
6748,2
6983,2
6462,2
8170,2
3734,2
4590,2
3721,2
6954,2
3735,2
6607,2
6807,2
6656,2
6835,2
4514,2
6475,2
8148,2
4623,2
3722,2
3748,2
6584,2
6855,2
6911,2
4624,2
6953,2
6858,2
6962,2
6530,2
4503,2
6861,2
6610,2
6533,2
6980,2
6868,2
4537,2
6870,2
4525,2
6879,2
6694,2
6880,2
6708,2
6883,2
6720,2
6534,2
8200,2
6886,2
8203,2
207,2
694,2
858,2
3313,2
817,2
119,2
141,2
1349,2
1458,2
1350,2
3266,2
215,2
47,2
3370,2
3289,2
3374,2
1130,2
921,2
876,2
3397,2
205,2
105,2
206,2
3401,2
315,2
690,2
3653,2
934,2
316,2
3533,2
3670,2
3547,2
1295,2
1399,2
211,2
1400,2
1313,2
1413,2
40,2
1431,2
3599,2
1316,2
6676,1
6597,1
4609,1
6464,1
6376,1
6882,1
6698,1
6821,1
8171,1
6826,1
8207,1
6542,1
6459,1
6468,1
6531,1
6887,1
7002,1
4627,1
4451,1
6471,1
6596,1
6569,1
6968,1
4638,1
6755,1
6834,1
6637,1
4489,1
6458,1
4490,1
6682,1
6583,1
6864,1
6749,1
6783,1
4644,1
8131,1
6836,1
8161,1
6441,1
8169,1
4496,1
6871,1
4649,1
4502,1
6750,1
6488,1
6914,1
6971,1
6591,1
6754,1
6841,1
6857,1
6931,1
6614,1
6932,1
6731,1
6933,1
6860,1
6592,1
6984,1
6935,1
6987,1
6593,1
6686,1
6941,1
4513,1
6942,1
6865,1
6594,1
4519,1
4650,1
6999,1
3723,1
7004,1
6752,1
3749,1
6955,1
8154,1
6957,1
8162,1
6958,1
3731,1
6959,1
4594,1
6961,1
4523,1
6478,1
6736,1
6963,1
4494,1
6728,1
4495,1
6753,1
3596,1
1496,1
3651,1
3245,1
3546,1
3246,1
1360,1
3250,1
3672,1
3251,1
3693,1
3253,1
3567,1
3263,1
1357,1
3264,1
834,1
861,1
358,1
872,1
3677,1
875,1
3686,1
3283,1
3509,1
133,1
81,1
878,1
3589,1
3287,1
3598,1
1177,1
3621,1
429,1
1380,1
1202,1
3646,1
1207,1
1094,1
1209,1
362,1
3297,1
1412,1
1211,1
848,1
441,1
419,1
463,1
3689,1
3308,1
3498,1
3309,1
1344,1
106,1
1347,1
3311,1
1068,1
276,1
1084,1
926,1
3592,1
1293,1
1352,1
932,1
1354,1
3361,1
3615,1
3363,1
3624,1
289,1
1379,1
296,1
318,1
1308,1
1395,1
76,1
3647,1
1312,1
3652,1
3377,1
1397,1
3378,1
1139,1
120,1
3671,1
1020,1
1401,1
143,1
1147,1
210,1
149,1
3418,1
855,1
3419,1
1153,1
3439,1
3685,1
3443,1
3688,1
804,1
3690,1
3493,1
3244,1
3497,1
